Waterbody_Name,Fish_Species_Present_at_Waterbody,Number_of_species,Comments,Special_Regulations_on_Waterbody,County,Types_of_Public_Access,Public_Fishing_Access_Owner,Waterbody_Information,Longitude,Latitude,Location
Mohawk River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky* - Northern Pike - Walleye - Carp,9,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Boat Launch (Hand Launch),DEC,,-75.32566292,43.16536357,"(43.16536357, -75.325662919)"
Massapequa Creek,Brown Trout* - Rainbow Trout*,2,None,http://www.dec.ny.gov/outdoor/31466.html,Nassau,Shore Fishing,Massapequa County Preserve (County Park),,-73.45983411,40.68298021,"(40.682980209, -73.459834106)"
East Branch Ausable River,Brook Trout* - Brown Trout* - Rainbow Trout*,3,None,http://www.dec.ny.gov/outdoor/31443.html,Essex,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrebausable.pdf,-73.70922836,44.38879337,"(44.388793371, -73.709228364)"
Cold Brook,Brook Trout,1,None,,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,,-74.76228706,43.14535718,"(43.145357176, -74.762287056)"
Trammel Creek,Brook Trout,1,None,,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrecanadack.pdf,-74.70919155,43.1877812,"(43.187781202, -74.709191549)"
Woodhull Creek,Brook Trout,1,None,,Oneida,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwoodhullck.pdf,-75.17255796,43.4633306,"(43.463330598, -75.172557964)"
Raystone Creek,Brook Trout,1,None,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,Shore Fishing,Winona State Forest (DEC),,-75.946454,43.73518154,"(43.735181544, -75.946453998)"
Crystal Creek,Brook Trout - Brown Trout - Rainbow Trout,3,None,,Lewis,Shore Fishing - Public Fishing Rights,Public Easement,,-75.3998312,43.83628139,"(43.83628139, -75.399831197)"
Fish Creek,Brook Trout - Brown Trout,2,None,,Lewis,Shore Fishing,Independence River Wild Forest (DEC),http://www.dec.ny.gov/lands/22574.html,-75.23988562,43.68165648,"(43.681656479, -75.23988562)"
South Branch Grass River,Brook Trout - Brown Trout,2,None,,St. Lawrence,Shore Fishing,Grasse River Wild Forest (DEC),http://www.dec.ny.gov/lands/22575.html,-74.97584267,44.28623731,"(44.28623731, -74.975842665)"
Little River,Brook Trout - Brown Trout,2,None,,St. Lawrence,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrlittler.pdf,-75.06430253,44.19409374,"(44.194093742, -75.064302528)"
Marble River,Brook Trout* - Brown Trout* - Rainbow Trout*,3,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrchateaugay.pdf,-74.07016639,44.93876592,"(44.938765922, -74.070166392)"
Elm Creek,Brown Trout,1,None,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/littleconewangock.pdf,-78.9643141,42.16102651,"(42.161026511, -78.964314103)"
Skinner Creek,Steelhead - Chinook Salmon,2,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrskinnerck.pdf,-76.10224057,43.69600757,"(43.696007568, -76.102240571)"
Lindsey Creek,Steelhead - Chinook Salmon,2,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrskinnerck.pdf,-76.12901524,43.67801607,"(43.678016073, -76.129015241)"
Cayuta Creek,Brown Trout* - Sunfish,2,None,http://www.dec.ny.gov/outdoor/31491.html,Schuyler,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcayutack.pdf,-76.68258761,42.26860739,"(42.268607394, -76.682587611)"
Oatka Creek,Brown Trout*,1,None,http://www.dec.ny.gov/outdoor/31462.html,Monroe,Shore Fishing - Public Fishing Rights - Boat Launch (Hand Launch),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfroatkacreek.pdf,-77.86198326,42.99583145,"(42.995831451, -77.861983259)"
Butternut Creek,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31471.html,Onondaga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7buttnutpfr.pdf,-76.07180235,42.90744839,"(42.907448391, -76.071802347)"
Seneca River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky* - Northern Pike - Walleye - Carp - Channel Catfish,10,None,,Cayuga,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/66680.html,-76.51428809,43.07596973,"(43.075969728, -76.514288087)"
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,5,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.81719816,42.08290185,"(42.082901848, -76.817198164)"
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,5,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.77998577,42.0810175,"(42.081017495, -76.779985774)"
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,5,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.72326842,42.01768709,"(42.017687092, -76.723268419)"
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,5,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.63368809,42.00302355,"(42.00302355, -76.633688086)"
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,5,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.93264658,42.12133505,"(42.121335045, -76.932646575)"
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,5,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.95156008,42.12434275,"(42.12434275, -76.951560082)"
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,5,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23867.html,-77.0055655,42.11577762,"(42.115777623, -77.005565503)"
Cohocton River,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcohoctriv.pdf,-77.45756057,42.43726112,"(42.437261119, -77.457560572)"
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,6,None,http://www.dec.ny.gov/outdoor/31431.html,Broome,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.64737749,42.12391291,"(42.123912911, -75.647377492)"
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,6,None,,Otsego,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.20077825,42.37722182,"(42.37722182, -75.200778251)"
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,6,None,,Otsego,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.41417732,42.31513605,"(42.315136051, -75.414177322)"
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,6,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.52351287,42.22791135,"(42.227911346, -75.523512866)"
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,6,None,,Delaware,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.32352211,42.32068181,"(42.320681805, -75.323522111)"
Tioughnioga River,Smallmouth Bass - Northern Pike - Walleye - Carp,4,None,http://www.dec.ny.gov/outdoor/31439.html,Cortland,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7tiouripfr.pdf,-76.07439538,42.49170917,"(42.491709174, -76.074395382)"
Chenango River,Muskellunge - Northern Pike - Walleye - Carp,4,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/63442.html,-75.5457903,42.47254882,"(42.472548816, -75.545790298)"
Chenango River,Muskellunge - Northern Pike - Walleye - Carp,4,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/63442.html,-75.51310737,42.52378793,"(42.52378793, -75.513107368)"
Chenango River,Muskellunge - Northern Pike - Walleye - Carp,4,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/63442.html,-75.51039674,42.67881805,"(42.67881805, -75.51039674)"
Chenango River,Brown Trout,1,None,http://www.dec.ny.gov/outdoor/31460.html,Madison,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/63442.html,-75.60807481,42.85900439,"(42.859004393, -75.608074811)"
Salmon River,Brown Trout* - Steelhead* - Chinook Salmon* - Coho Salmon* - Atlantic Salmon* - Smallmouth Bass,6,Camping available at state park.,,Oswego,Shore Fishing,Selkirk Shores State Park,http://www.dec.ny.gov/docs/fish_marine_pdf/r7salrivpfr.pdf,-76.20350444,43.56745963,"(43.567459626, -76.203504438)"
Carmans River,Brook Trout* - Brown Trout* - Rainbow Trout*,3,Tidal,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23865.html,-72.88348892,40.80157303,"(40.801573033, -72.883488915)"
Nissequogue River,Brook Trout* - Brown Trout* - Rainbow Trout*,3,Tidal,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Shore Fishing - Boat Launch (Hand Launch),Suffolk County Park,http://www.dec.ny.gov/outdoor/23865.html,-73.21097849,40.85779918,"(40.857799176, -73.210978492)"
Nissequogue River,Brook Trout* - Brown Trout* - Rainbow Trout*,3,Tidal - Town park permit required.,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Boat Launch (Hand Launch),Municipal,http://www.dec.ny.gov/outdoor/23865.html,-73.2004987,40.86384159,"(40.863841594, -73.200498701)"
Saranac River,Atlantic Salmon - Brown Trout - Rainbow Trout - Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye,10,None,http://www.dec.ny.gov/outdoor/31437.html,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsaranac.pdf,-73.44990579,44.68920254,"(44.689202541, -73.449905785)"
Salmon River,Brook Trout - Brown Trout*,2,None,,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsalmonrc.pdf,-73.6952539,44.59075613,"(44.590756132, -73.695253902)"
West Branch Ausable River,Brook Trout* - Brown Trout* - Rainbow Trout*,3,None,http://www.dec.ny.gov/outdoor/31443.html,Essex,Shore Fishing,Saranac Lake Wild Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwbausable.pdf,-73.91556461,44.31074358,"(44.310743575, -73.915564611)"
North Branch Great Chazy River,Brown Trout* - Rainbow Trout* - Smallmouth Bass,3,None,,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrnbchazy.pdf,-73.87479468,44.88465224,"(44.884652244, -73.874794684)"
West Canada Creek,Brook Trout* - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31453.html,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/9238.html,-74.99608609,43.16332365,"(43.16332365, -74.996086087)"
West Canada Creek,Brook Trout* - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31453.html,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/9238.html,-74.98377933,43.08546199,"(43.085461991, -74.983779328)"
Oriskany Creek,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31460.html,Madison,Shore Fishing - Public Fishing Rights,Public Easement,,-75.48375123,42.92756354,"(42.927563542, -75.483751226)"
Kayaderosseras Creek,Brown Trout* - Rainbow Trout,2,None,http://www.dec.ny.gov/outdoor/31482.html,Saratoga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkayadeross.pdf,-73.85622796,43.19182532,"(43.191825316, -73.856227958)"
Kayaderosseras Creek,Brown Trout* - Rainbow Trout,2,None,http://www.dec.ny.gov/outdoor/31482.html,Saratoga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkayadeross.pdf,-73.87768708,43.13801064,"(43.138010643, -73.877687077)"
Kayaderosseras Creek,Brown Trout* - Rainbow Trout,2,None,http://www.dec.ny.gov/outdoor/31482.html,Saratoga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkayadeross.pdf,-73.9178984,43.05258697,"(43.052586965, -73.917898397)"
Kayaderosseras Creek,Brown Trout* - Rainbow Trout,2,None,http://www.dec.ny.gov/outdoor/31482.html,Saratoga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkayadeross.pdf,-73.86674066,43.03169238,"(43.031692383, -73.866740662)"
Batten Kill,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31502.html,Washington,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbattenkil.pdf,-73.31137863,43.08303732,"(43.083037323, -73.311378628)"
Batten Kill,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31502.html,Washington,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbattenkil.pdf,-73.35495464,43.13587957,"(43.13587957, -73.354954639)"
Black River,Brook Trout* - Brown Trout* - Rainbow Trout*,3,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights,Public Easement,,-75.21109522,43.44382388,"(43.443823877, -75.211095217)"
Black River,Brook Trout* - Brown Trout* - Rainbow Trout*,3,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights,Public Easement,,-75.27403585,43.49337778,"(43.493377775, -75.274035848)"
Black River,Brook Trout* - Brown Trout* - Rainbow Trout*,3,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights,Public Easement,,-75.3076741,43.53254981,"(43.53254981, -75.3076741)"
Black River,Brook Trout* - Brown Trout* - Rainbow Trout*,3,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights,Public Easement,,-75.33077592,43.57024992,"(43.570249921, -75.330775915)"
Black River,Brown Trout* - Rainbow Trout* - Walleye,3,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23889.html,-75.36535764,43.6786498,"(43.678649799, -75.365357639)"
Black River,Brown Trout* - Rainbow Trout* - Walleye,3,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23889.html,-75.39893257,43.71113059,"(43.711130585, -75.398932569)"
Black River,Brown Trout* - Rainbow Trout* - Walleye,3,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23889.html,-75.44670321,43.77477352,"(43.774773516, -75.446703206)"
Black River,Brown Trout* - Rainbow Trout* - Walleye,3,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23889.html,-75.50521032,43.89523514,"(43.895235137, -75.50521032)"
Black River,Brown Trout* - Steelhead* - Coho Salmon - Chinook Salmon* - Smallmouth Bass - Sunfish - Yellow Perch - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,12,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23890.html,-76.04618036,44.00535713,"(44.005357127, -76.046180361)"
Black River,Brown Trout* - Steelhead* - Coho Salmon - Chinook Salmon* - Smallmouth Bass - Sunfish - Yellow Perch - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,12,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23890.html,-76.04038825,44.00582004,"(44.005820035, -76.040388249)"
Stoney Creek,Brown Trout* - Steelhead* - Coho Salmon - Chinook Salmon - Smallmouth Bass - Northern Pike,6,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - New York State Park Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrstonyck.pdf,-76.22913591,43.82489987,"(43.824899867, -76.229135907)"
South Sandy Creek,Brown Trout - Steelhead* - Coho Salmon - Chinook Salmon* - Smallmouth Bass,5,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights - Boat Launch (Hand Launch),Public Easement - Lakeview Wildlife Management Area (DEC) - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrssandyck.pdf,-76.18250004,43.70990992,"(43.709909916, -76.182500037)"
South Sandy Creek,Brook Trout*,1,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrssandyck.pdf,-75.92529329,43.77769635,"(43.777696352, -75.925293291)"
West Branch Fish Creek,Brook Trout - Brown Trout* - Atlantic Salmon*,3,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights,Public Easement - Fish Creek State Forest (DEC),http://www.dec.ny.gov/lands/8072.html,-75.71447777,43.29366521,"(43.293665209, -75.714477768)"
East Branch Fish Creek,Brook Trout - Brown Trout* - Atlantic Salmon*,3,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights,Public Easement - East Branch Fish Creek State Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrebfishcreek.pdf,-75.59424075,43.46382801,"(43.463828007, -75.594240745)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,10,Camping available at state park.,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Shore Fishing - Boat Launch (Trailer Improved),Burnham Point State Park,http://www.dec.ny.gov/outdoor/29956.html,-76.26489202,44.16300875,"(44.163008752, -76.264892023)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,10,Campground - marina and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Shore Fishing - Boat Launch (Trailer Improved),Cedar Point State Park,http://www.dec.ny.gov/outdoor/29956.html,-76.19902929,44.20429601,"(44.204296007, -76.199029291)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,10,Campground and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Shore Fishing - Boat Launch (Trailer Improved),Grass Point State Park,http://www.dec.ny.gov/outdoor/29956.html,-75.99992054,44.28221782,"(44.282217817, -75.999920539)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,10,Campground - marina and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Shore Fishing - Boat Launch (Trailer Improved),Wellesely Island State Park,http://www.dec.ny.gov/outdoor/29956.html,-76.03289458,44.33217536,"(44.332175362, -76.032894584)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,10,Campground - marina and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Shore Fishing - Boat Launch (Trailer Improved),Kring Point State Park,http://www.dec.ny.gov/outdoor/29956.html,-75.85961194,44.37458514,"(44.374585142, -75.859611935)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,10,Campground and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Improved),Jacques Cartier State Park,http://www.dec.ny.gov/outdoor/29956.html,-75.68623604,44.56235456,"(44.562354555, -75.686236044)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,10,Campground - marina and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Improved),Coles Creek State Park,http://www.dec.ny.gov/outdoor/29956.html,-75.12242041,44.88889887,"(44.888898873, -75.122420412)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,10,None,http://www.dec.ny.gov/outdoor/31423.html,St. Lawrence,Boat Launch (Trailer Improved),Wilson Hill State Boat Launch,http://www.dec.ny.gov/outdoor/29956.html,-75.01107768,44.92905213,"(44.929052125, -75.011077684)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,10,None,http://www.dec.ny.gov/outdoor/31423.html,St. Lawrence,Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/29956.html,-74.92489921,44.95592549,"(44.955925486, -74.924899209)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,10,Campground - marina and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Improved),Robert Moses State Park,http://www.dec.ny.gov/outdoor/29956.html,-74.85893172,45.00015061,"(45.000150607, -74.858931717)"
Salmon River,Brook Trout - Brown Trout* - Rainbow Trout*,3,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsalmonrf.pdf,-74.32023614,44.89824064,"(44.898240638, -74.320236144)"
St. Regis River,Brook Trout - Brown Trout* - Rainbow Trout*,3,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Boat Launch (Hand Launch),Debar Mountain Wild Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrstregis.pdf,-74.42608883,44.67170866,"(44.671708659, -74.426088831)"
St. Regis River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,10,Contact St. Regis Nation (518-358-5937) for access to waters within their lands.,http://www.dec.ny.gov/outdoor/31444.html,St. Lawrence,Boat Launch (Trailer Improved),DEC,,-74.78628034,44.82271615,"(44.822716152, -74.786280341)"
Delaware River (Upper),Brown Trout - Rainbow Trout - Smallmouth Bass - Walleye - Carp,5,None,,Delaware,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23900.html,-75.2143723,41.86807678,"(41.868076776, -75.214372297)"
Delaware River (Lower),Smallmouth Bass - Muskellunge - Walleye - Striped Bass,4,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23864.html,-75.05744952,41.66979134,"(41.669791341, -75.057449516)"
Delaware River (Lower),Smallmouth Bass - Muskellunge - Walleye - Striped Bass,4,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23864.html,-75.05861347,41.6116817,"(41.611681701, -75.058613465)"
Delaware River (Lower),Smallmouth Bass - Muskellunge - Walleye - Striped Bass,4,None,http://www.dec.ny.gov/outdoor/31474.html,Orange,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23864.html,-74.74025461,41.40509231,"(41.405092306, -74.740254614)"
Neversink River,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.59996264,41.74082551,"(41.740825511, -74.59996264)"
Neversink River,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.61304605,41.71676312,"(41.716763116, -74.613046049)"
Neversink River,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.59959145,41.6924478,"(41.692447795, -74.599591451)"
Neversink River,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.61755652,41.63685449,"(41.636854494, -74.617556523)"
